input,output
"The rolling averages over the last 6 weeks
assists: 0.0 clean_sheets: 0.167 creativity: 0.0 bps: 18.5 goals_conceded: 1.667 goals_scored: 0.0 ict_index: 2.733 influence: 27.167 minutes: 90.0 own_goals: 0.0 penalties_missed: 0.0 penalties_saved: 0.0 red_cards: 0.0 saves: 3.5 threat: 0.0 yellow_cards: 0.0 For this game, these are the stats
was_home: 0 difficulty_gap: 0 
",1.0
"The rolling averages over the last 6 weeks
assists: 0.0 clean_sheets: 0.143 creativity: 0.0 bps: 17.571 goals_conceded: 1.714 goals_scored: 0.0 ict_index: 2.629 influence: 26.114 minutes: 90.0 own_goals: 0.0 penalties_missed: 0.0 penalties_saved: 0.0 red_cards: 0.0 saves: 3.286 threat: 0.0 yellow_cards: 0.0 For this game, these are the stats
was_home: 1 difficulty_gap: 0 
",2.0
"The rolling averages over the last 6 weeks
assists: 0.0 clean_sheets: 0.0 creativity: 0.0 bps: 16.0 goals_conceded: 2.0 goals_scored: 0.0 ict_index: 2.643 influence: 26.229 minutes: 90.0 own_goals: 0.0 penalties_missed: 0.0 penalties_saved: 0.0 red_cards: 0.0 saves: 3.429 threat: 0.0 yellow_cards: 0.0 For this game, these are the stats
was_home: 0 difficulty_gap: 0 
",3.0
"The rolling averages over the last 6 weeks
assists: 0.0 clean_sheets: 0.0 creativity: 0.0 bps: 16.286 goals_conceded: 1.571 goals_scored: 0.0 ict_index: 2.814 influence: 27.943 minutes: 90.0 own_goals: 0.0 penalties_missed: 0.0 penalties_saved: 0.0 red_cards: 0.0 saves: 3.571 threat: 0.0 yellow_cards: 0.0 For this game, these are the stats
was_home: 1 difficulty_gap: 1 
",2.0
"The rolling averages over the last 6 weeks
assists: 0.0 clean_sheets: 0.0 creativity: 0.0 bps: 17.286 goals_conceded: 1.714 goals_scored: 0.0 ict_index: 2.9 influence: 28.886 minutes: 90.0 own_goals: 0.0 penalties_missed: 0.0 penalties_saved: 0.0 red_cards: 0.0 saves: 3.714 threat: 0.0 yellow_cards: 0.0 For this game, these are the stats
was_home: 0 difficulty_gap: 0 
",3.0
"The rolling averages over the last 6 weeks
assists: 0.0 clean_sheets: 0.0 creativity: 0.0 bps: 16.571 goals_conceded: 1.714 goals_scored: 0.0 ict_index: 2.514 influence: 24.971 minutes: 90.0 own_goals: 0.0 penalties_missed: 0.0 penalties_saved: 0.0 red_cards: 0.0 saves: 3.286 threat: 0.0 yellow_cards: 0.0 For this game, these are the stats
was_home: 1 difficulty_gap: 1 
Not content to simply progress to the World Cup play-offs, Scotland decided they may as well secure a home semi-final by virtue of seeding. This victory over a previously imperious Denmark team on a special evening on Glasgows south side proved the fitting conclusion to a successful campaign for Steve Clarke and his team. Scotland have won six competitive games in a row for the first time since 1930. Their only frustration is associated with the wait until March for the first of two games Clarke hopes will return this international side to a World Cup after a wait stretching back to 1998. On this evidence, Scotland have nothing to fear. They rattled, harassed and outplayed Denmark. Everything came together, said Clarke. We were always on the front foot. It was a really good night for us. When I came into this job there was a lot of negativity around. Now theres a lot of positivity and the players love it. The players like to be loved and they feel the love of the crowd which is great. Clarkes team closed just four points behind the Danes in Group F. Seeding will render what comes next slightly easier, with Hampden Park in this raucous form quite the backdrop. The switch in public attitudes towards the Scotland team was demonstrated by the scarcity of available tickets for this encounter. Under Clarke, the upwardly mobile Scots have broken the mould of failed campaign after failed campaign. Following this team has become fashionable once more. It was typical of the managers approach that this fixture was deemed significant despite the play-off berth being secured days earlier in Moldova. Understandable Clarke focus also fell on officialdom. Five of the starting XI here  Stephen ODonnell, Billy Gilmour, John McGinn, Che Adams and Andy Robertson  would be suspended for the play-off semi final if collecting a yellow card. No Scotland players were booked as the Danes were swatted aside. Denmarks direct progress to Qatar was sealed long ago. They arrived in Glasgow seeking to complete the perfect 10 out of 10 qualifying wins. In the midst of their run was a comprehensive dismissal of Scotland in Copenhagen. After a bright Scottish start, the visitors served notice of their intentions via Daniel Wass. The Valencia midfielder, arriving late in the penalty area, bundled narrowly wide from Rasmus Kristensens cross. Scotland remained hugely competitive. Midway through the opening half, in concluding a sweeping move kept alive by the tenacity of Ryan Christie, Adams forced Kasper Schmeichel to a terrific save with an outstretched foot. The majority of Hampden was already on its feet to acclaim the opening goal. There began a concerted spell of Scotland pressure. Adams was denied a wonderful goal, following a break as included a spectacular Christie pass, by Simon Kjaers despairing block. Denmark were helpless, though, to prevent John Souttars opener. The Hearts defender, who has endured a horrible time with serious injury, delivered a moment of huge personal significance by nodding home from six yards. Liam Cooper had earlier headed McGinns corner perfectly into Souttars path. The 25-year-olds celebration supplied evidence of his earlier turmoil. Matters simmered down to a dull roar in the opening stages of the second half. Set pieces appeared Scotlands best hope of a crucial second, with Schmeichel looking surprisingly ill at ease under cross balls. Not that open play was completely ineffective; Gilmour tested the Leicester City custodian from long range before Adams cracked a post from a narrow angle. The Southampton forward, who was terrific all evening, was belatedly flagged offside but Tartan Army belief continued to rise. That Robertson, the Scotland captain, limped off with 11 minutes to play placed a minor dampener on the evening for the hosts. Smiles were soon returned to faces. The outstanding Adams stayed onside, ran onto Stuart Armstrongs through pass and slammed beyond Schmeichel. Hampden erupted. The Clarke-led revival of this scene deserves the most fulsome of praise.
",1.0
"The rolling averages over the last 6 weeks
assists: 0.0 clean_sheets: 0.0 creativity: 0.0 bps: 16.857 goals_conceded: 1.857 goals_scored: 0.0 ict_index: 2.643 influence: 26.343 minutes: 90.0 own_goals: 0.0 penalties_missed: 0.0 penalties_saved: 0.0 red_cards: 0.0 saves: 3.429 threat: 0.0 yellow_cards: 0.143 For this game, these are the stats
was_home: 1 difficulty_gap: -1 
Not content to simply progress to the World Cup play-offs, Scotland decided they may as well secure a home semi-final by virtue of seeding. This victory over a previously imperious Denmark team on a special evening on Glasgows south side proved the fitting conclusion to a successful campaign for Steve Clarke and his team. Scotland have won six competitive games in a row for the first time since 1930. Their only frustration is associated with the wait until March for the first of two games Clarke hopes will return this international side to a World Cup after a wait stretching back to 1998. On this evidence, Scotland have nothing to fear. They rattled, harassed and outplayed Denmark. Everything came together, said Clarke. We were always on the front foot. It was a really good night for us. When I came into this job there was a lot of negativity around. Now theres a lot of positivity and the players love it. The players like to be loved and they feel the love of the crowd which is great. Clarkes team closed just four points behind the Danes in Group F. Seeding will render what comes next slightly easier, with Hampden Park in this raucous form quite the backdrop. The switch in public attitudes towards the Scotland team was demonstrated by the scarcity of available tickets for this encounter. Under Clarke, the upwardly mobile Scots have broken the mould of failed campaign after failed campaign. Following this team has become fashionable once more. It was typical of the managers approach that this fixture was deemed significant despite the play-off berth being secured days earlier in Moldova. Understandable Clarke focus also fell on officialdom. Five of the starting XI here  Stephen ODonnell, Billy Gilmour, John McGinn, Che Adams and Andy Robertson  would be suspended for the play-off semi final if collecting a yellow card. No Scotland players were booked as the Danes were swatted aside. Denmarks direct progress to Qatar was sealed long ago. They arrived in Glasgow seeking to complete the perfect 10 out of 10 qualifying wins. In the midst of their run was a comprehensive dismissal of Scotland in Copenhagen. After a bright Scottish start, the visitors served notice of their intentions via Daniel Wass. The Valencia midfielder, arriving late in the penalty area, bundled narrowly wide from Rasmus Kristensens cross. Scotland remained hugely competitive. Midway through the opening half, in concluding a sweeping move kept alive by the tenacity of Ryan Christie, Adams forced Kasper Schmeichel to a terrific save with an outstretched foot. The majority of Hampden was already on its feet to acclaim the opening goal. There began a concerted spell of Scotland pressure. Adams was denied a wonderful goal, following a break as included a spectacular Christie pass, by Simon Kjaers despairing block. Denmark were helpless, though, to prevent John Souttars opener. The Hearts defender, who has endured a horrible time with serious injury, delivered a moment of huge personal significance by nodding home from six yards. Liam Cooper had earlier headed McGinns corner perfectly into Souttars path. The 25-year-olds celebration supplied evidence of his earlier turmoil. Matters simmered down to a dull roar in the opening stages of the second half. Set pieces appeared Scotlands best hope of a crucial second, with Schmeichel looking surprisingly ill at ease under cross balls. Not that open play was completely ineffective; Gilmour tested the Leicester City custodian from long range before Adams cracked a post from a narrow angle. The Southampton forward, who was terrific all evening, was belatedly flagged offside but Tartan Army belief continued to rise. That Robertson, the Scotland captain, limped off with 11 minutes to play placed a minor dampener on the evening for the hosts. Smiles were soon returned to faces. The outstanding Adams stayed onside, ran onto Stuart Armstrongs through pass and slammed beyond Schmeichel. Hampden erupted. The Clarke-led revival of this scene deserves the most fulsome of praise.
",2.0
"The rolling averages over the last 6 weeks
assists: 0.0 clean_sheets: 0.0 creativity: 0.0 bps: 17.0 goals_conceded: 1.857 goals_scored: 0.0 ict_index: 2.743 influence: 27.371 minutes: 90.0 own_goals: 0.0 penalties_missed: 0.0 penalties_saved: 0.0 red_cards: 0.0 saves: 3.571 threat: 0.0 yellow_cards: 0.143 For this game, these are the stats
was_home: 0 difficulty_gap: 1 
Not content to simply progress to the World Cup play-offs, Scotland decided they may as well secure a home semi-final by virtue of seeding. This victory over a previously imperious Denmark team on a special evening on Glasgows south side proved the fitting conclusion to a successful campaign for Steve Clarke and his team. Scotland have won six competitive games in a row for the first time since 1930. Their only frustration is associated with the wait until March for the first of two games Clarke hopes will return this international side to a World Cup after a wait stretching back to 1998. On this evidence, Scotland have nothing to fear. They rattled, harassed and outplayed Denmark. Everything came together, said Clarke. We were always on the front foot. It was a really good night for us. When I came into this job there was a lot of negativity around. Now theres a lot of positivity and the players love it. The players like to be loved and they feel the love of the crowd which is great. Clarkes team closed just four points behind the Danes in Group F. Seeding will render what comes next slightly easier, with Hampden Park in this raucous form quite the backdrop. The switch in public attitudes towards the Scotland team was demonstrated by the scarcity of available tickets for this encounter. Under Clarke, the upwardly mobile Scots have broken the mould of failed campaign after failed campaign. Following this team has become fashionable once more. It was typical of the managers approach that this fixture was deemed significant despite the play-off berth being secured days earlier in Moldova. Understandable Clarke focus also fell on officialdom. Five of the starting XI here  Stephen ODonnell, Billy Gilmour, John McGinn, Che Adams and Andy Robertson  would be suspended for the play-off semi final if collecting a yellow card. No Scotland players were booked as the Danes were swatted aside. Denmarks direct progress to Qatar was sealed long ago. They arrived in Glasgow seeking to complete the perfect 10 out of 10 qualifying wins. In the midst of their run was a comprehensive dismissal of Scotland in Copenhagen. After a bright Scottish start, the visitors served notice of their intentions via Daniel Wass. The Valencia midfielder, arriving late in the penalty area, bundled narrowly wide from Rasmus Kristensens cross. Scotland remained hugely competitive. Midway through the opening half, in concluding a sweeping move kept alive by the tenacity of Ryan Christie, Adams forced Kasper Schmeichel to a terrific save with an outstretched foot. The majority of Hampden was already on its feet to acclaim the opening goal. There began a concerted spell of Scotland pressure. Adams was denied a wonderful goal, following a break as included a spectacular Christie pass, by Simon Kjaers despairing block. Denmark were helpless, though, to prevent John Souttars opener. The Hearts defender, who has endured a horrible time with serious injury, delivered a moment of huge personal significance by nodding home from six yards. Liam Cooper had earlier headed McGinns corner perfectly into Souttars path. The 25-year-olds celebration supplied evidence of his earlier turmoil. Matters simmered down to a dull roar in the opening stages of the second half. Set pieces appeared Scotlands best hope of a crucial second, with Schmeichel looking surprisingly ill at ease under cross balls. Not that open play was completely ineffective; Gilmour tested the Leicester City custodian from long range before Adams cracked a post from a narrow angle. The Southampton forward, who was terrific all evening, was belatedly flagged offside but Tartan Army belief continued to rise. That Robertson, the Scotland captain, limped off with 11 minutes to play placed a minor dampener on the evening for the hosts. Smiles were soon returned to faces. The outstanding Adams stayed onside, ran onto Stuart Armstrongs through pass and slammed beyond Schmeichel. Hampden erupted. The Clarke-led revival of this scene deserves the most fulsome of praise.
",2.0
"The rolling averages over the last 6 weeks
assists: 0.0 clean_sheets: 0.0 creativity: 0.0 bps: 18.0 goals_conceded: 1.857 goals_scored: 0.0 ict_index: 3.014 influence: 30.057 minutes: 90.0 own_goals: 0.0 penalties_missed: 0.0 penalties_saved: 0.0 red_cards: 0.0 saves: 4.0 threat: 0.0 yellow_cards: 0.143 For this game, these are the stats
was_home: 0 difficulty_gap: 0 
Not content to simply progress to the World Cup play-offs, Scotland decided they may as well secure a home semi-final by virtue of seeding. This victory over a previously imperious Denmark team on a special evening on Glasgows south side proved the fitting conclusion to a successful campaign for Steve Clarke and his team. Scotland have won six competitive games in a row for the first time since 1930. Their only frustration is associated with the wait until March for the first of two games Clarke hopes will return this international side to a World Cup after a wait stretching back to 1998. On this evidence, Scotland have nothing to fear. They rattled, harassed and outplayed Denmark. Everything came together, said Clarke. We were always on the front foot. It was a really good night for us. When I came into this job there was a lot of negativity around. Now theres a lot of positivity and the players love it. The players like to be loved and they feel the love of the crowd which is great. Clarkes team closed just four points behind the Danes in Group F. Seeding will render what comes next slightly easier, with Hampden Park in this raucous form quite the backdrop. The switch in public attitudes towards the Scotland team was demonstrated by the scarcity of available tickets for this encounter. Under Clarke, the upwardly mobile Scots have broken the mould of failed campaign after failed campaign. Following this team has become fashionable once more. It was typical of the managers approach that this fixture was deemed significant despite the play-off berth being secured days earlier in Moldova. Understandable Clarke focus also fell on officialdom. Five of the starting XI here  Stephen ODonnell, Billy Gilmour, John McGinn, Che Adams and Andy Robertson  would be suspended for the play-off semi final if collecting a yellow card. No Scotland players were booked as the Danes were swatted aside. Denmarks direct progress to Qatar was sealed long ago. They arrived in Glasgow seeking to complete the perfect 10 out of 10 qualifying wins. In the midst of their run was a comprehensive dismissal of Scotland in Copenhagen. After a bright Scottish start, the visitors served notice of their intentions via Daniel Wass. The Valencia midfielder, arriving late in the penalty area, bundled narrowly wide from Rasmus Kristensens cross. Scotland remained hugely competitive. Midway through the opening half, in concluding a sweeping move kept alive by the tenacity of Ryan Christie, Adams forced Kasper Schmeichel to a terrific save with an outstretched foot. The majority of Hampden was already on its feet to acclaim the opening goal. There began a concerted spell of Scotland pressure. Adams was denied a wonderful goal, following a break as included a spectacular Christie pass, by Simon Kjaers despairing block. Denmark were helpless, though, to prevent John Souttars opener. The Hearts defender, who has endured a horrible time with serious injury, delivered a moment of huge personal significance by nodding home from six yards. Liam Cooper had earlier headed McGinns corner perfectly into Souttars path. The 25-year-olds celebration supplied evidence of his earlier turmoil. Matters simmered down to a dull roar in the opening stages of the second half. Set pieces appeared Scotlands best hope of a crucial second, with Schmeichel looking surprisingly ill at ease under cross balls. Not that open play was completely ineffective; Gilmour tested the Leicester City custodian from long range before Adams cracked a post from a narrow angle. The Southampton forward, who was terrific all evening, was belatedly flagged offside but Tartan Army belief continued to rise. That Robertson, the Scotland captain, limped off with 11 minutes to play placed a minor dampener on the evening for the hosts. Smiles were soon returned to faces. The outstanding Adams stayed onside, ran onto Stuart Armstrongs through pass and slammed beyond Schmeichel. Hampden erupted. The Clarke-led revival of this scene deserves the most fulsome of praise.
",1.0
"The rolling averages over the last 6 weeks
assists: 0.0 clean_sheets: 0.0 creativity: 0.014 bps: 17.0 goals_conceded: 1.857 goals_scored: 0.0 ict_index: 2.886 influence: 28.829 minutes: 90.0 own_goals: 0.0 penalties_missed: 0.0 penalties_saved: 0.0 red_cards: 0.0 saves: 3.714 threat: 0.0 yellow_cards: 0.143 For this game, these are the stats
was_home: 1 difficulty_gap: -1 
Not content to simply progress to the World Cup play-offs, Scotland decided they may as well secure a home semi-final by virtue of seeding. This victory over a previously imperious Denmark team on a special evening on Glasgows south side proved the fitting conclusion to a successful campaign for Steve Clarke and his team. Scotland have won six competitive games in a row for the first time since 1930. Their only frustration is associated with the wait until March for the first of two games Clarke hopes will return this international side to a World Cup after a wait stretching back to 1998. On this evidence, Scotland have nothing to fear. They rattled, harassed and outplayed Denmark. Everything came together, said Clarke. We were always on the front foot. It was a really good night for us. When I came into this job there was a lot of negativity around. Now theres a lot of positivity and the players love it. The players like to be loved and they feel the love of the crowd which is great. Clarkes team closed just four points behind the Danes in Group F. Seeding will render what comes next slightly easier, with Hampden Park in this raucous form quite the backdrop. The switch in public attitudes towards the Scotland team was demonstrated by the scarcity of available tickets for this encounter. Under Clarke, the upwardly mobile Scots have broken the mould of failed campaign after failed campaign. Following this team has become fashionable once more. It was typical of the managers approach that this fixture was deemed significant despite the play-off berth being secured days earlier in Moldova. Understandable Clarke focus also fell on officialdom. Five of the starting XI here  Stephen ODonnell, Billy Gilmour, John McGinn, Che Adams and Andy Robertson  would be suspended for the play-off semi final if collecting a yellow card. No Scotland players were booked as the Danes were swatted aside. Denmarks direct progress to Qatar was sealed long ago. They arrived in Glasgow seeking to complete the perfect 10 out of 10 qualifying wins. In the midst of their run was a comprehensive dismissal of Scotland in Copenhagen. After a bright Scottish start, the visitors served notice of their intentions via Daniel Wass. The Valencia midfielder, arriving late in the penalty area, bundled narrowly wide from Rasmus Kristensens cross. Scotland remained hugely competitive. Midway through the opening half, in concluding a sweeping move kept alive by the tenacity of Ryan Christie, Adams forced Kasper Schmeichel to a terrific save with an outstretched foot. The majority of Hampden was already on its feet to acclaim the opening goal. There began a concerted spell of Scotland pressure. Adams was denied a wonderful goal, following a break as included a spectacular Christie pass, by Simon Kjaers despairing block. Denmark were helpless, though, to prevent John Souttars opener. The Hearts defender, who has endured a horrible time with serious injury, delivered a moment of huge personal significance by nodding home from six yards. Liam Cooper had earlier headed McGinns corner perfectly into Souttars path. The 25-year-olds celebration supplied evidence of his earlier turmoil. Matters simmered down to a dull roar in the opening stages of the second half. Set pieces appeared Scotlands best hope of a crucial second, with Schmeichel looking surprisingly ill at ease under cross balls. Not that open play was completely ineffective; Gilmour tested the Leicester City custodian from long range before Adams cracked a post from a narrow angle. The Southampton forward, who was terrific all evening, was belatedly flagged offside but Tartan Army belief continued to rise. That Robertson, the Scotland captain, limped off with 11 minutes to play placed a minor dampener on the evening for the hosts. Smiles were soon returned to faces. The outstanding Adams stayed onside, ran onto Stuart Armstrongs through pass and slammed beyond Schmeichel. Hampden erupted. The Clarke-led revival of this scene deserves the most fulsome of praise.
",7.0
