name,position,team
Ibrahima Diallo,MID,Southampton
Felipe Anderson Pereira Gomes,MID,West Ham
Juan Mata,MID,Man Utd
Aaron Connolly,FWD,Brighton
Oliver Norwood,MID,Sheffield Utd
Lee Peltier,DEF,West Brom
Daniel Langley,GK,Newcastle
Wilfried Zaha,MID,Crystal Palace
Bailey Peacock-Farrell,GK,Burnley
Ryan Fraser,MID,Newcastle
Anthony Driscoll-Glennon,DEF,Burnley
Cengiz Ünder,MID,Leicester
Hélder Wander Sousa de Azevedo e Costa,MID,Leeds
Raúl Jiménez,FWD,Wolves
Oskar Buur,DEF,Wolves
Kieran Tierney,DEF,Arsenal
José Diogo Dalot Teixeira,DEF,Man Utd
James Bree,DEF,Aston Villa
Branislav Ivanovic,DEF,West Brom
Dennis Praet,MID,Leicester
Max Lowe,DEF,Sheffield Utd
Brandon Williams,DEF,Man Utd
Neal Maupay,FWD,Brighton
Mark Noble,MID,West Ham
Jordan Henderson,MID,Liverpool
Curtis Jones,MID,Liverpool
William Saliba,DEF,Arsenal
Pascal Struijk,DEF,Leeds
Matt Ritchie,MID,Newcastle
Gary Cahill,DEF,Crystal Palace
Joel Ward,DEF,Crystal Palace
Karl Darlow,GK,Newcastle
Shane Long,FWD,Southampton
Bernd Leno,GK,Arsenal
Luke Ayling,DEF,Leeds
Jesse Lingard,MID,Man Utd
Robbie Brady,MID,Burnley
Neil Taylor,DEF,Aston Villa
Jamie Vardy,FWD,Leicester
Tyrick Mitchell,DEF,Crystal Palace
Neco Williams,DEF,Liverpool
Jeff Hendrick,MID,Newcastle
Léo Bonatini,FWD,Wolves
Ethan Ampadu,DEF,Sheffield Utd
Çaglar Söyüncü,DEF,Leicester
Mace Goodridge,MID,Burnley
Youri Tielemans,MID,Leicester
Oliver Burke,MID,Sheffield Utd
Bruno Miguel Borges Fernandes,MID,Man Utd
Illan Meslier,GK,Leeds
Jack Jenkins,MID,Leeds
Kelechi Iheanacho,FWD,Leicester
Craig Dawson,DEF,West Ham
Kyle Walker-Peters,DEF,Southampton
Sam Johnstone,GK,West Brom
Rayan Ait Nouri,DEF,Wolves
Joel Matip,DEF,Liverpool
Fabián Balbuena,DEF,West Ham
Kenneth Zohore,FWD,West Brom
James Garner,MID,Man Utd
Trent Alexander-Arnold,DEF,Liverpool
Jake Livermore,MID,West Brom
Sokratis Papastathopoulos,DEF,Arsenal
Jonathan Castro Otto,DEF,Wolves
Kelland Watts,DEF,Newcastle
Jeffrey Schlupp,MID,Crystal Palace
Faustino Anjorin,MID,Chelsea
Danny Welbeck,FWD,Brighton
Edward Nketiah,FWD,Arsenal
Timo Werner,FWD,Chelsea
Edouard Mendy,GK,Chelsea
Vitor Ferreira,MID,Wolves
Reece James,DEF,Chelsea
Ollie Watkins,FWD,Aston Villa
Gabriel Teodoro Martinelli Silva,MID,Arsenal
Roberto Firmino,FWD,Liverpool
Jonjo Shelvey,MID,Newcastle
Jamal Lewis,DEF,Newcastle
Patrick van Aanholt,DEF,Crystal Palace
Jamaal Lascelles,DEF,Newcastle
José Ignacio Peleteiro Romallo,MID,Aston Villa
Jonathan Leko,MID,West Brom
Solomon March,MID,Brighton
Issa Diop,DEF,West Ham
John Egan,DEF,Sheffield Utd
Matija Sarkic,GK,Wolves
Angelo Ogbonna,DEF,West Ham
Virgil van Dijk,DEF,Liverpool
Darnell Furlong,DEF,West Brom
Luka Milivojevic,MID,Crystal Palace
Victor Lindelöf,DEF,Man Utd
Dara O'Shea,DEF,West Brom
Nathaniel Phillips,DEF,Liverpool
Steven Alzate,MID,Brighton
Sadio Mané,MID,Liverpool
Nathan Ferguson,DEF,Crystal Palace
Javier Manquillo,DEF,Newcastle
Josh Sims,MID,Southampton
Facundo Pellistri,MID,Man Utd
James Justin,DEF,Leicester
Antonio Rüdiger,DEF,Chelsea
Konstantinos Tsimikas,DEF,Liverpool
Nicolas Pépé,MID,Arsenal
Bertrand Traoré,MID,Aston Villa
Sam Field,MID,West Brom
Josh Benson,MID,Burnley
Wes Morgan,DEF,Leicester
William Smallbone,MID,Southampton
Granit Xhaka,MID,Arsenal
Christian Fuchs,DEF,Leicester
